"","lambda","mu","prob","meanN","meanNb"
"947",0.01,1.73,-41.8589040164393,1.00545734990796,1.00455644900706
"948",0.11,1.73,-42.1655151208538,1.06078965110932,1.05087974119941
"949",0.21,1.73,-42.4842533406775,1.11750027446782,1.0985813555489
"950",0.31,1.73,-42.8150442844348,1.17558557599701,1.14765764806927
"951",0.41,1.73,-43.1578027291265,1.235039658623,1.19810272168897
"952",0.51,1.73,-43.5124328333872,1.29585440665845,1.24990846073688
"953",0.61,1.73,-43.878828402078,1.35801953268528,1.30306457786813
"954",0.71,1.73,-44.2568731993781,1.4215226358386,1.35755867246744
"955",0.81,1.73,-44.6464413066658,1.48634927003117,1.41337629914387
"956",0.91,1.73,-45.047397520672,1.55248302016967,1.47050104447676
"957",1.01,1.73,-45.4595977865705,1.61990558393662,1.52891460972885
"958",0.01,1.75,-41.8786520509545,1.00545734990796,1.00455644900706
"959",0.11,1.75,-42.1846139468422,1.06078965110932,1.05087974119941
"960",0.21,1.75,-42.5027274745555,1.11750027446782,1.0985813555489
"961",0.31,1.75,-42.8329177249182,1.17558557599701,1.14765764806927
"962",0.41,1.75,-43.1750989490099,1.235039658623,1.19810272168897
"963",0.51,1.75,-43.5291747718023,1.29585440665845,1.24990846073688
"964",0.61,1.75,-43.8950384573199,1.35801953268528,1.30306457786813
"965",0.71,1.75,-44.2725732223845,1.4215226358386,1.35755867246744
"966",0.81,1.75,-44.6616525952249,1.48634927003117,1.41337629914387
"967",0.91,1.75,-45.062140814428,1.55248302016967,1.47050104447676
"968",1.01,1.75,-45.4738932628869,1.61990558393662,1.52891460972885
"969",0.01,1.77,-41.9002204330213,1.00545734990796,1.00455644900706
"970",0.11,1.77,-42.2055459873,1.06078965110932,1.05087974119941
"971",0.21,1.77,-42.5230472223076,1.11750027446782,1.0985813555489
"972",0.31,1.77,-42.8526487193412,1.17558557599701,1.14765764806927
"973",0.41,1.77,-43.1942642120352,1.235039658623,1.19810272168897
"974",0.51,1.77,-43.5477968004623,1.29585440665845,1.24990846073688
"975",0.61,1.77,-43.9131392168471,1.35801953268528,1.30306457786813
"976",0.71,1.77,-44.2901741399444,1.4215226358386,1.35755867246744
"977",0.81,1.77,-44.6787745543594,1.48634927003117,1.41337629914387
"978",0.91,1.77,-45.0788041502745,1.55248302016967,1.47050104447676
"979",1.01,1.77,-45.4901177582338,1.61990558393662,1.52891460972885
"980",0.01,1.79,-41.9235669734369,1.00545734990796,1.00455644900706
"981",0.11,1.79,-42.2282687977821,1.06078965110932,1.05087974119941
"982",0.21,1.79,-42.5451698927986,1.11750027446782,1.0985813555489
"983",0.31,1.79,-42.8741943383487,1.17558557599701,1.14765764806927
"984",0.41,1.79,-43.215255359005,1.235039658623,1.19810272168897
"985",0.51,1.79,-43.568255538602,1.29585440665845,1.24990846073688
"986",0.61,1.79,-43.9330870864866,1.35801953268528,1.30306457786813
"987",0.71,1.79,-44.3096321525142,1.4215226358386,1.35755867246744
"988",0.81,1.79,-44.6977631870589,1.48634927003117,1.41337629914387
"989",0.91,1.79,-45.0973433414972,1.55248302016967,1.47050104447676
"990",1.01,1.79,-45.5082269038066,1.61990558393662,1.52891460972885
"991",0.01,1.81,-41.9486510274249,1.00545734990796,1.00455644900706
"992",0.11,1.81,-42.2527414833418,1.06078965110932,1.05087974119941
"993",0.21,1.81,-42.5690543493222,1.11750027446782,1.0985813555489
"994",0.31,1.81,-42.8975132118022,1.17558557599701,1.14765764806927
"995",0.41,1.81,-43.2380307945822,1.235039658623,1.19810272168897
"996",0.51,1.81,-43.5905091738146,1.29585440665845,1.24990846073688
"997",0.61,1.81,-43.9548400447777,1.35801953268528,1.30306457786813
"998",0.71,1.81,-44.3309050374711,1.4215226358386,1.35755867246744
"999",0.81,1.81,-44.7185760772984,1.48634927003117,1.41337629914387
"1000",0.91,1.81,-45.1177157862878,1.55248302016967,1.47050104447676
"1001",1.01,1.81,-45.5281779194847,1.61990558393662,1.52891460972885
"1002",0.01,1.83,-41.9754334217801,1.00545734990796,1.00455644900706
"1003",0.11,1.83,-42.2789246255753,1.06078965110932,1.05087974119941
