"","prop","mu","prob","meanN","meanNb"
"355",0.95,0.79,-47.0894665585854,3.44323386453746,3.13303261548003
"356",0.96,0.79,-46.5449589654861,3.44399528187771,3.1337254366635
"357",0.97,0.79,-46.0060940396376,3.44474128638196,3.13440423355476
"358",0.98,0.79,-45.4727560309438,3.44547234126062,3.13506942763354
"359",0.99,0.79,-44.9448327148149,3.44618889135012,3.13572142366092
"360",1,0.79,-44.4222152504328,3.44689136401487,3.13636061050002
"361",0.92,0.81,-48.577174765535,3.44085220723295,3.13086552189665
"362",0.93,0.81,-48.0150071281157,3.44166284082681,3.131603125437
"363",0.94,0.81,-47.4588520940449,3.4424565518185,3.13232533093395
"364",0.95,0.81,-46.9085824088569,3.44323386453746,3.13303261548003
"365",0.96,0.81,-46.3640748157576,3.44399528187771,3.1337254366635
"366",0.97,0.81,-45.8252098899091,3.44474128638196,3.13440423355476
"367",0.98,0.81,-45.2918718812153,3.44547234126062,3.13506942763354
"368",0.99,0.81,-44.7639485650864,3.44618889135012,3.13572142366092
"369",1,0.81,-44.2413311007043,3.44689136401487,3.13636061050002
"370",0.92,0.83,-48.4058720264305,3.44085220723295,3.13086552189665
"371",0.93,0.83,-47.8437043890113,3.44166284082681,3.131603125437
"372",0.94,0.83,-47.2875493549404,3.4424565518185,3.13232533093395
"373",0.95,0.83,-46.7372796697525,3.44323386453746,3.13303261548003
"374",0.96,0.83,-46.1927720766531,3.44399528187771,3.1337254366635
"375",0.97,0.83,-45.6539071508047,3.44474128638196,3.13440423355476
"376",0.98,0.83,-45.1205691421109,3.44547234126062,3.13506942763354
"377",0.99,0.83,-44.5926458259819,3.44618889135012,3.13572142366092
"378",1,0.83,-44.0700283615999,3.44689136401487,3.13636061050002
"379",0.92,0.85,-48.2436567851799,3.44085220723295,3.13086552189665
"380",0.93,0.85,-47.6814891477607,3.44166284082681,3.131603125437
"381",0.94,0.85,-47.1253341136898,3.4424565518185,3.13232533093395
"382",0.95,0.85,-46.5750644285019,3.44323386453746,3.13303261548003
"383",0.96,0.85,-46.0305568354025,3.44399528187771,3.1337254366635
"384",0.97,0.85,-45.4916919095541,3.44474128638196,3.13440423355476
"385",0.98,0.85,-44.9583539008603,3.44547234126062,3.13506942763354
"386",0.99,0.85,-44.4304305847314,3.44618889135012,3.13572142366092
"387",1,0.85,-43.9078131203493,3.44689136401487,3.13636061050002
"388",0.92,0.87,-48.0900709832258,3.44085220723295,3.13086552189665
"389",0.93,0.87,-47.5279033458066,3.44166284082681,3.131603125437
"390",0.94,0.87,-46.9717483117357,3.4424565518185,3.13232533093395
"391",0.95,0.87,-46.4214786265478,3.44323386453746,3.13303261548003
"392",0.96,0.87,-45.8769710334484,3.44399528187771,3.1337254366635
"393",0.97,0.87,-45.3381061076,3.44474128638196,3.13440423355476
"394",0.98,0.87,-44.8047680989062,3.44547234126062,3.13506942763354
"395",0.99,0.87,-44.2768447827772,3.44618889135012,3.13572142366092
"396",1,0.87,-43.7542273183951,3.44689136401487,3.13636061050002
"397",0.92,0.89,-47.9446891145054,3.44085220723295,3.13086552189665
"398",0.93,0.89,-47.3825214770862,3.44166284082681,3.131603125437
"399",0.94,0.89,-46.8263664430153,3.4424565518185,3.13232533093395
"400",0.95,0.89,-46.2760967578273,3.44323386453746,3.13303261548003
"401",0.96,0.89,-45.731589164728,3.44399528187771,3.1337254366635
